column	recOff	width	src	lea@
ARMS_FOV_SCALAR	0x16c	dword	MOVSS XMM1	142227bd9
COF_RECOIL	0x080	dword	MOVSS XMM1	142227c0c
COF_SCALAR	0x084	dword	MOVSS XMM1	142227c3c
COF_SCALAR_MOVING	0x088	dword	MOVSS XMM1	142227c6c
COF_OVERRIDE	0x08c	dword	MOVSS XMM1	142227c9c
COF_SCALAR_JUMPING	0x090	dword	MOVSS XMM1	142227ccc
RECOIL_ANGLE_MIN	0x094	dword	MOVSS XMM1	142227cfc
RECOIL_ANGLE_MAX	0x098	dword	MOVSS XMM1	142227d2c
RECOIL_HORIZONTAL_TOLERANCE	0x09c	dword	MOVSS XMM1	142227d5c
RECOIL_HORIZONTAL_MIN	0x0a0	dword	MOVSS XMM1	142227d8c
RECOIL_HORIZONTAL_MAX	0x0a4	dword	MOVSS XMM1	142227dbf
RECOIL_MAGNITUDE_MIN	0x0a8	dword	MOVSS XMM1	142227df2
RECOIL_MAGNITUDE_MAX	0x0ac	dword	MOVSS XMM1	142227e25
RECOIL_RECOVERY_DELAY_MS	?	?	?	142227e58
RECOIL_RECOVERY_RATE	0x0b4	dword	MOVSS XMM1	142227e83
RECOIL_RECOVERY_ACCELERATION	0x0b8	dword	MOVSS XMM1	142227eb6
RECOIL_SHOTS_AT_MIN_MAGNITUDE	?	?	?	142227ee9
RECOIL_MAX_TOTAL_MAGNITUDE	0x0c0	dword	MOVSS XMM1	142227f14
RECOIL_INCREASE	0x0c4	dword	MOVSS XMM1	142227f47
RECOIL_INCREASE_CROUCHED	0x0c8	dword	MOVSS XMM1	142227f7a
RECOIL_HORIZONTAL_MIN_INCREASE	0x0d0	dword	MOVSS XMM1	142227fad
RECOIL_HORIZONTAL_MAX_INCREASE	0x0d4	dword	MOVSS XMM1	142227fe0
RECOIL_FIRST_SHOT_MODIFIER	0x0cc	dword	MOVSS XMM1	142228013
HUD_IMAGE_ID	?	?	?	142228046
TARGET_REQUIREMENT	?	?	?	142228071
